('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
      338    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       33    0.000    0.000    0.013    0.000 response.py:692(_update_chunk_length)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      268    0.000    0.000    0.000    0.000 os.py:758(decode)
      229    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      146    0.000    0.000    0.000    0.000 os.py:754(encode)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
      317    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.001    0.000 request.py:2488(getproxies_environment)
    39/18    0.000    0.000    0.146    0.008 {built-in method builtins.__import__}
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
      171    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
       32    0.000    0.000    0.005    0.000 response.py:395(_decode)
        1    0.000    0.000    0.000    0.000 response.py:160(HTTPResponse)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       32    0.000    0.000    0.001    0.000 typing.py:1121(__getitem__)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:274(PreparedRequest)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.038    0.038 dammit.py:1(<module>)
      485    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      390    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       88    0.000    0.000    0.001    0.000 typing.py:933(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
        1    0.000    0.000    0.000    0.000 six.py:165(_SixMetaPathImporter)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method today}
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      145    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
        1    0.000    0.000    0.030    0.030 dammit.py:2310(EntitySubstitution)
        1    0.000    0.000    0.069    0.069 css_parser.py:1(<module>)
       16    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
        3    0.000    0.000    0.011    0.004 request.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       39    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
  227/225    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      155    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       42    0.000    0.000    0.000    0.000 element.py:1985(__init__)
      482    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.123    0.123 connection.py:356(connect)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      136    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       52    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      154    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
