('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         661467 function calls (635819 primitive calls) in 1.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
        1    0.000    0.000    0.000    0.000 _models.py:1758(Cookies)
    55/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      166    0.000    0.000    0.000    0.000 typing.py:222(_check_generic)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
       15    0.000    0.000    0.002    0.000 dataclasses.py:529(_init_fn)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2371(_signature_from_callable)
        1    0.000    0.000    0.039    0.039 dammit.py:1(<module>)
       25    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 zipfile.py:1181(ZipFile)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.031    0.031 dammit.py:2310(EntitySubstitution)
      601    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      153    0.000    0.000    0.170    0.001 default.py:102(__iter__)
      289    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
        8    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      154    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      153    0.000    0.000    0.170    0.001 connection_pool.py:345(__iter__)
       54    0.000    0.000    0.001    0.000 typing.py:661(__init__)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      282    0.000    0.000    0.000    0.000 typing.py:702(__eq__)
       25    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
      104    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       13    0.000    0.000    0.005    0.000 enum.py:536(_convert_)
       44    0.000    0.000    0.001    0.000 typing.py:1177(__getitem__)
       42    0.000    0.000    0.000    0.000 element.py:1985(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
        2    0.000    0.000    0.071    0.036 _models.py:1(<module>)
